,State,District,Name,Party,Status,Religion
521,WI,Senator,Tammy Baldwin,D,Continuing,Don't know/refused
522,WI,Senator,Ron Johnson,R,Continuing,Lutheran
523,WV,1,David B. McKinley,R,Continuing,Episcopalian
524,WV,2,Alex X. Mooney,R,Continuing,Catholic
525,WV,3,Carol Miller,R,Continuing,Baptist
526,WV,Senator,Joe Manchin III,D,Continuing,Catholic
527,WV,Senator,Shelley Moore Capito,R,Continuing,Presbyterian
528,WY,At-large,Liz Cheney,R,Continuing,Methodist
529,WY,Senator,John Barrasso,R,Continuing,Presbyterian
530,WY,Senator,Cynthia Lummis,R,Freshman,Lutheran
