,State,District,Name,Party,Status,Religion
344,NY,11,Nicole Malliotakis,R,Freshman,Orthodox
345,NY,12,Carolyn B. Maloney,D,Continuing,Presbyterian
346,NY,13,Adriano Espaillat,D,Continuing,Catholic
347,NY,14,Alexandria Ocasio-Cortez,D,Continuing,Catholic
348,NY,15,Ritchie Torres,D,Freshman,Protestant unspecified
349,NY,16,Jamaal Bowman,D,Freshman,Don't know/refused
350,NY,17,Mondaire Jones,D,Freshman,Baptist
351,NY,18,Sean Patrick Maloney,D,Continuing,Catholic
352,NY,19,Antonio Delgado,D,Continuing,Don't know/refused
353,NY,20,Paul Tonko,D,Continuing,Catholic
354,NY,21,Elise Stefanik,R,Continuing,Catholic
355,NY,23,Tom Reed,R,Continuing,Catholic
356,NY,24,John Katko,R,Continuing,Catholic
357,NY,25,Joseph D. Morelle,D,Continuing,Catholic
358,NY,26,Brian Higgins,D,Continuing,Catholic
359,NY,27,Chris Jacobs,R,Continuing,Don't know/refused
360,NY,Senator,Kirsten Gillibrand,D,Continuing,Catholic
361,NY,Senator,Charles E. Schumer,D,Continuing,Jewish
362,OH,1,Steve Chabot,R,Continuing,Catholic
363,OH,2,Brad Wenstrup,R,Continuing,Catholic
364,OH,3,Joyce Beatty,D,Continuing,Baptist
365,OH,4,Jim Jordan,R,Continuing,Protestant unspecified
366,OH,5,Bob Latta,R,Continuing,Catholic
367,OH,6,Bill Johnson,R,Continuing,Protestant unspecified
368,OH,7,Bob Gibbs,R,Continuing,Methodist
369,OH,8,Warren Davidson,R,Continuing,Protestant unspecified
370,OH,9,Marcy Kaptur,D,Continuing,Catholic
371,OH,10,Michael R. Turner,R,Continuing,Protestant unspecified
372,OH,11,Marcia L. Fudge,D,Continuing,Baptist
373,OH,12,Troy Balderson,R,Continuing,Protestant unspecified
374,OH,13,Tim Ryan,D,Continuing,Catholic
375,OH,14,David Joyce,R,Continuing,Catholic
376,OH,15,Steve Stivers,R,Continuing,Methodist
377,OH,16,Anthony Gonzalez,R,Continuing,Catholic
378,OH,Senator,Sherrod Brown,D,Continuing,Lutheran
379,OH,Senator,Rob Portman,R,Continuing,Methodist
380,OK,1,Kevin Hern,R,Continuing,Protestant unspecified
381,OK,2,Markwayne Mullin,R,Continuing,Pentecostal
382,OK,3,Frank D. Lucas,R,Continuing,Baptist
383,OK,4,Tom Cole,R,Continuing,Methodist
384,OK,5,Stephanie Bice,R,Freshman,Catholic
385,OK,Senator,James Lankford,R,Continuing,Baptist
386,OK,Senator,James M. Inhofe,R,Continuing,Presbyterian
387,OR,1,Suzanne Bonamici,D,Continuing,Don't know/refused
388,OR,2,Cliff Bentz,R,Freshman,Catholic
389,OR,3,Earl Blumenauer,D,Continuing,Don't know/refused
390,OR,4,Peter A. DeFazio,D,Continuing,Catholic
391,OR,5,Kurt Schrader,D,Continuing,Episcopalian
392,OR,Senator,Ron Wyden,D,Continuing,Jewish
393,OR,Senator,Jeff Merkley,D,Continuing,Lutheran
394,PA,1,Brian Fitzpatrick,R,Continuing,Catholic
395,PA,2,Brendan F. Boyle,D,Continuing,Catholic
396,PA,3,Dwight Evans,D,Continuing,Baptist
397,PA,4,Madeleine Dean,D,Continuing,Catholic
398,PA,5,Mary Gay Scanlon,D,Continuing,Catholic
399,PA,6,Chrissy Houlahan,D,Continuing,Don't know/refused
400,PA,7,Susan Wild,D,Continuing,Jewish
401,PA,8,Matt Cartwright,D,Continuing,Catholic
402,PA,9,Dan Meuser,R,Continuing,Catholic
403,PA,10,Scott Perry,R,Continuing,Protestant unspecified
404,PA,11,Lloyd K. Smucker,R,Continuing,Lutheran
405,PA,12,Fred Keller,R,Continuing,Protestant unspecified
406,PA,13,John Joyce,R,Continuing,Catholic
407,PA,14,Guy Reschenthaler,R,Continuing,Protestant unspecified
408,PA,15,"Glenn ""GT"" Thompson",R,Continuing,Protestant unspecified
409,PA,16,Mike Kelly,R,Continuing,Catholic
410,PA,17,Conor Lamb,D,Continuing,Catholic
411,PA,18,Mike Doyle,D,Continuing,Catholic
