bio_id,speaker_name,chamber,state,gender,total_words,total_keywords,total_god_mentions,total_biblical_references
J000300,Mr. JONES,Senate,AL,M,105835,25,21,0
F000062,Mrs. FEINSTEIN,Senate,CA,F,4342054,90,59,0
C001035,Ms. COLLINS,Senate,ME,F,2180082,32,23,0
B001277,Mr. BLUMENTHAL,Senate,CT,M,786458,10,3,0
R000122,Mr. REED,Senate,RI,M,2494502,19,13,1
R000605,Mr. ROUNDS,Senate,SD,M,94130,15,6,0
M001176,Mr. MERKLEY,Senate,OR,M,1242962,19,6,0
C001070,Mr. CASEY,Senate,PA,M,1113031,78,76,1
W000815,Mr. WENSTRUP,House,OH,M,83745,37,35,0
G000559,Mr. GARAMENDI,House,CA,M,1062439,50,44,0
H001067,Mr. HUDSON,House,NC,M,169579,41,55,1
S001148,Mr. SIMPSON,House,ID,M,325857,21,12,0
T000468,Ms. TITUS,House,NV,F,131594,4,4,0
R000599,Mr. RUIZ,House,CA,M,123195,18,9,1
S001204,Mr. SAN NICOLAS,House,GU,M,44184,4,1,0
S001183,Mr. SCHWEIKERT,House,AZ,M,644159,85,71,0
G000581,Mr. GONZALEZ of Texas,House,TX,M,38650,5,3,0
B001270,Ms. BASS,House,CA,F,105713,23,10,0
L000578,Mr. LaMALFA,House,CA,M,399454,165,138,4
R000607,Mr. ROONEY of Florida,House,FL,M,40452,6,5,0
K000210,Mr. KING of New York,House,NY,M,259469,31,24,0
F000462,Ms. FRANKEL,House,FL,F,103017,3,1,0
Z000017,Mr. ZELDIN,House,NY,M,129752,11,11,0
G000553,Mr. GREEN of Texas,House,TX,M,686987,348,272,7
D000615,Mr. DUNCAN,House,SC,M,132280,175,118,16
C001112,Mr. CARBAJAL,House,CA,M,55984,2,2,0
T000472,Mr. TAKANO,House,CA,M,313325,17,13,0
B001274,Mr. BROOKS of Alabama,House,AL,M,110341,33,15,0
L000583,Mr. LOUDERMILK,House,GA,M,84341,80,60,0
C001067,Ms. CLARKE of New York,House,NY,F,189554,29,20,0
F000466,Mr. FITZPATRICK,House,PA,M,137639,11,17,0
R000613,Mr. ROSE of New York,House,NY,M,24940,10,11,0
