Representative,Party,District,Religion,Notes,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide
Terri Sewell,Democratic,Alabama's 7th,African Methodist Episcopal,,S001185,S001185,S001185,S001185,S001185,S001185,S001185,S001185,S001185,S001185,S001185,S001185,S001185,S001185,S001185,S001185,S001185,S001185
Doris Matsui,Democratic,California's 7th,Methodist,,M001163,M001163,M001163,M001163,M001163,M001163,M001163,M001163,M001163,M001163,M001163,M001163,M001163,M001163,M001163,M001163,M001163,M001163
Mark Takano,Democratic,California's 39th,Methodist,,T000472,T000472,T000472,T000472,T000472,T000472,T000472,T000472,T000472,T000472,T000472,T000472,T000472,T000472,T000472,T000472,T000472,T000472
Jahana Hayes,Democratic,Connecticut's 5th,Methodist,,H001081,H001081,H001081,H001081,H001081,H001081,H001081,H001081,H001081,H001081,H001081,H001081,H001081,H001081,H001081,H001081,H001081,H001081
Bill Posey,Republican,Florida's 8th,Methodist,,P000599,P000599,P000599,P000599,P000599,P000599,P000599,P000599,P000599,P000599,P000599,P000599,P000599,P000599,P000599,P000599,P000599,P000599
Greg Steube,Republican,Florida's 17th,Methodist,,S001214,S001214,S001214,S001214,S001214,S001214,S001214,S001214,S001214,S001214,S001214,S001214,S001214,S001214,S001214,S001214,S001214,S001214
Buddy Carter,Republican,Georgia's 1st,Methodist,,C001103,C001103,C001103,C001103,C001103,C001103,C001103,C001103,C001103,C001103,C001103,C001103,C001103,C001103,C001103,C001103,C001103,C001103
Nikema Williams,Democratic,Georgia's 5th,Methodist,,W000788,W000788,W000788,W000788,W000788,W000788,W000788,W000788,W000788,W000788,W000788,W000788,W000788,W000788,W000788,W000788,W000788,W000788
Mike Collins,Republican,Georgia's 10th,Methodist,,C001129,C001129,C001129,C001129,C001129,C001129,C001129,C001129,C001129,C001129,C001129,C001129,C001129,C001129,C001129,C001129,C001129,C001129
Rick W. Allen,Republican,Georgia's 12th,Methodist,,A000372,A000372,A000372,A000372,A000372,A000372,A000372,A000372,A000372,A000372,A000372,A000372,A000372,A000372,A000372,A000372,A000372,A000372
Delia Ramirez,Democratic,Illinois's 3rd,Methodist,,R000617,R000617,R000617,R000617,R000617,R000617,R000617,R000617,R000617,R000617,R000617,R000617,R000617,R000617,R000617,R000617,R000617,R000617
Thomas Massie,Republican,Kentucky's 4th,Methodist,,M001184,M001184,M001184,M001184,M001184,M001184,M001184,M001184,M001184,M001184,M001184,M001184,M001184,M001184,M001184,M001184,M001184,M001184
Dutch Ruppersberger,Democratic,Maryland's 2nd,Methodist,,R000576,R000576,R000576,R000576,R000576,R000576,R000576,R000576,R000576,R000576,R000576,R000576,R000576,R000576,R000576,R000576,R000576,R000576
Emanuel Cleaver,Democratic,Missouri's 5th,Methodist,Ordained minister of the United Methodist Church,C001061,C001061,C001061,C001061,C001061,C001061,C001061,C001061,C001061,C001061,C001061,C001061,C001061,C001061,C001061,C001061,C001061,C001061
Bennie Thompson,Democratic,Mississippi's 2nd,Methodist,,T000193,T000193,T000193,T000193,T000193,T000193,T000193,T000193,T000193,T000193,T000193,T000193,T000193,T000193,T000193,T000193,T000193,T000193
Gregory Meeks,Democratic,New York's 5th,Methodist,,M001137,M001137,M001137,M001137,M001137,M001137,M001137,M001137,M001137,M001137,M001137,M001137,M001137,M001137,M001137,M001137,M001137,M001137
Dan Bishop,Republican,North Carolina's 8th,Methodist,,B001311,B001311,B001311,B001311,B001311,B001311,B001311,B001311,B001311,B001311,B001311,B001311,B001311,B001311,B001311,B001311,B001311,B001311
Tom Cole,Republican,Oklahoma's 4th,Methodist,,C001053,C001053,C001053,C001053,C001053,C001053,C001053,C001053,C001053,C001053,C001053,C001053,C001053,C001053,C001053,C001053,C001053,C001053
Jim Clyburn,Democratic,South Carolina's 6th,Methodist,,C000537,C000537,C000537,C000537,C000537,C000537,C000537,C000537,C000537,C000537,C000537,C000537,C000537,C000537,C000537,C000537,C000537,C000537
Dan Crenshaw,Republican,Texas's 2nd,Methodist,,C001120,C001120,C001120,C001120,C001120,C001120,C001120,C001120,C001120,C001120,C001120,C001120,C001120,C001120,C001120,C001120,C001120,C001120
Lizzie Fletcher,Democratic,Texas's 7th,Methodist,,F000468,F000468,F000468,F000468,F000468,F000468,F000468,F000468,F000468,F000468,F000468,F000468,F000468,F000468,F000468,F000468,F000468,F000468
Kay Granger,Republican,Texas's 12th,Methodist,,G000377,G000377,G000377,G000377,G000377,G000377,G000377,G000377,G000377,G000377,G000377,G000377,G000377,G000377,G000377,G000377,G000377,G000377
Pete Sessions,Republican,Texas's 17th,Methodist,,S000250,S000250,S000250,S000250,S000250,S000250,S000250,S000250,S000250,S000250,S000250,S000250,S000250,S000250,S000250,S000250,S000250,S000250
Colin Allred,Democratic,Texas's 32nd,Methodist,,A000376,A000376,A000376,A000376,A000376,A000376,A000376,A000376,A000376,A000376,A000376,A000376,A000376,A000376,A000376,A000376,A000376,A000376
Lloyd Doggett,Democratic,Texas's 37th,Methodist,,D000399,D000399,D000399,D000399,D000399,D000399,D000399,D000399,D000399,D000399,D000399,D000399,D000399,D000399,D000399,D000399,D000399,D000399
Rick Larsen,Democratic,Washington's 2nd,Methodist,,L000560,L000560,L000560,L000560,L000560,L000560,L000560,L000560,L000560,L000560,L000560,L000560,L000560,L000560,L000560,L000560,L000560,L000560
Derek Kilmer,Democratic,Washington's 6th,Methodist,,K000381,K000381,K000381,K000381,K000381,K000381,K000381,K000381,K000381,K000381,K000381,K000381,K000381,K000381,K000381,K000381,K000381,K000381
Gary Palmer,Republican,Alabama's 6th,Presbyterian,,P000609,P000609,P000609,P000609,P000609,P000609,P000609,P000609,P000609,P000609,P000609,P000609,P000609,P000609,P000609,P000609,P000609,P000609
Diana DeGette,Democratic,Colorado's 1st,Presbyterian,,D000197,D000197,D000197,D000197,D000197,D000197,D000197,D000197,D000197,D000197,D000197,D000197,D000197,D000197,D000197,D000197,D000197,D000197
Jim Himes,Democratic,Connecticut's 4th,Presbyterian,,H001047,H001047,H001047,H001047,H001047,H001047,H001047,H001047,H001047,H001047,H001047,H001047,H001047,H001047,H001047,H001047,H001047,H001047
Kathy Castor,Democratic,Florida's 14th,Presbyterian,,C001066,C001066,C001066,C001066,C001066,C001066,C001066,C001066,C001066,C001066,C001066,C001066,C001066,C001066,C001066,C001066,C001066,C001066
Scott Franklin,Republican,Florida's 18th,Presbyterian,,F000472,F000472,F000472,F000472,F000472,F000472,F000472,F000472,F000472,F000472,F000472,F000472,F000472,F000472,F000472,F000472,F000472,F000472
Morgan McGarvey,Democratic,Kentucky's 3rd,Presbyterian,,M001220,M001220,M001220,M001220,M001220,M001220,M001220,M001220,M001220,M001220,M001220,M001220,M001220,M001220,M001220,M001220,M001220,M001220
Julia Letlow,Republican,Louisiana's 5th,Presbyterian,,L000595,L000595,L000595,L000595,L000595,L000595,L000595,L000595,L000595,L000595,L000595,L000595,L000595,L000595,L000595,L000595,L000595,L000595
Andy Kim,Democratic,New Jersey's 3rd,Presbyterian,,K000394,K000394,K000394,K000394,K000394,K000394,K000394,K000394,K000394,K000394,K000394,K000394,K000394,K000394,K000394,K000394,K000394,K000394
Claudia Tenney,Republican,New York's 24th,Presbyterian,,T000478,T000478,T000478,T000478,T000478,T000478,T000478,T000478,T000478,T000478,T000478,T000478,T000478,T000478,T000478,T000478,T000478,T000478
Don Davis,Democratic,North Carolina's 1st,Presbyterian,,D000230,D000230,D000230,D000230,D000230,D000230,D000230,D000230,D000230,D000230,D000230,D000230,D000230,D000230,D000230,D000230,D000230,D000230
Jeff Jackson,Democratic,North Carolina's 14th,Presbyterian,,J000308,J000308,J000308,J000308,J000308,J000308,J000308,J000308,J000308,J000308,J000308,J000308,J000308,J000308,J000308,J000308,J000308,J000308
Joe Wilson,Republican,South Carolina's 2nd,Presbyterian,,W000604,W000604,W000604,W000604,W000604,W000604,W000604,W000604,W000604,W000604,W000604,W000604,W000604,W000604,W000604,W000604,W000604,W000604
Ralph Norman,Republican,South Carolina's 5th,Presbyterian,,N000190,N000190,N000190,N000190,N000190,N000190,N000190,N000190,N000190,N000190,N000190,N000190,N000190,N000190,N000190,N000190,N000190,N000190
Tim Burchett,Republican,Tennessee's 2nd,Presbyterian,,B001309,B001309,B001309,B001309,B001309,B001309,B001309,B001309,B001309,B001309,B001309,B001309,B001309,B001309,B001309,B001309,B001309,B001309
Jodey Arrington,Republican,Texas's 19th,Presbyterian,,A000375,A000375,A000375,A000375,A000375,A000375,A000375,A000375,A000375,A000375,A000375,A000375,A000375,A000375,A000375,A000375,A000375,A000375
Jennifer McClellan,Democratic,Virginia's 4th,Presbyterian,,M001227,M001227,M001227,M001227,M001227,M001227,M001227,M001227,M001227,M001227,M001227,M001227,M001227,M001227,M001227,M001227,M001227,M001227
Dan Newhouse,Republican,Washington's 4th,Presbyterian,,N000189,N000189,N000189,N000189,N000189,N000189,N000189,N000189,N000189,N000189,N000189,N000189,N000189,N000189,N000189,N000189,N000189,N000189
John Duarte,Republican,California's 13th,Episcopalian,,D000633,D000633,D000633,D000633,D000633,D000633,D000633,D000633,D000633,D000633,D000633,D000633,D000633,D000633,D000633,D000633,D000633,D000633
Julia Brownley,Democratic,California's 26th,Episcopalian,,B001285,B001285,B001285,B001285,B001285,B001285,B001285,B001285,B001285,B001285,B001285,B001285,B001285,B001285,B001285,B001285,B001285,B001285
Ken Calvert,Republican,California's 41st,Episcopalian,,C000059,C000059,C000059,C000059,C000059,C000059,C000059,C000059,C000059,C000059,C000059,C000059,C000059,C000059,C000059,C000059,C000059,C000059
Katie Porter,Democratic,California's 47th,Episcopalian,,P000618,P000618,P000618,P000618,P000618,P000618,P000618,P000618,P000618,P000618,P000618,P000618,P000618,P000618,P000618,P000618,P000618,P000618
Frederica Wilson,Democratic,Florida's 24th,Episcopalian,,W000808,W000808,W000808,W000808,W000808,W000808,W000808,W000808,W000808,W000808,W000808,W000808,W000808,W000808,W000808,W000808,W000808,W000808
Andy Barr,Republican,Kentucky's 6th,Episcopalian,,B001282,B001282,B001282,B001282,B001282,B001282,B001282,B001282,B001282,B001282,B001282,B001282,B001282,B001282,B001282,B001282,B001282,B001282
Thomas Kean Jr.,Republican,New Jersey's 7th,Episcopalian,,K000398,K000398,K000398,K000398,K000398,K000398,K000398,K000398,K000398,K000398,K000398,K000398,K000398,K000398,K000398,K000398,K000398,K000398
Scott DesJarlais,Republican,Tennessee's 4th,Episcopalian,,D000616,D000616,D000616,D000616,D000616,D000616,D000616,D000616,D000616,D000616,D000616,D000616,D000616,D000616,D000616,D000616,D000616,D000616
Monica De La Cruz,Republican,Texas's 15th,Episcopalian,,D000594,D000594,D000594,D000594,D000594,D000594,D000594,D000594,D000594,D000594,D000594,D000594,D000594,D000594,D000594,D000594,D000594,D000594
Beth Van Duyne,Republican,Texas's 24th,Episcopalian,,V000134,V000134,V000134,V000134,V000134,V000134,V000134,V000134,V000134,V000134,V000134,V000134,V000134,V000134,V000134,V000134,V000134,V000134
Michael C. Burgess,Republican,Texas's 26th,Episcopalian,,B001248,B001248,B001248,B001248,B001248,B001248,B001248,B001248,B001248,B001248,B001248,B001248,B001248,B001248,B001248,B001248,B001248,B001248
Rob Wittman,Republican,Virginia's 1st,Episcopalian,,W000804,W000804,W000804,W000804,W000804,W000804,W000804,W000804,W000804,W000804,W000804,W000804,W000804,W000804,W000804,W000804,W000804,W000804
Bobby Scott,Democratic,Virginia's 3rd,Episcopalian,,S000185,S000185,S000185,S000185,S000185,S000185,S000185,S000185,S000185,S000185,S000185,S000185,S000185,S000185,S000185,S000185,S000185,S000185
Don Beyer,Democratic,Virginia's 8th,Episcopalian,,B001292,B001292,B001292,B001292,B001292,B001292,B001292,B001292,B001292,B001292,B001292,B001292,B001292,B001292,B001292,B001292,B001292,B001292
Suzan DelBene,Democratic,Washington's 1st,Episcopalian,,D000617,D000617,D000617,D000617,D000617,D000617,D000617,D000617,D000617,D000617,D000617,D000617,D000617,D000617,D000617,D000617,D000617,D000617
Adam Smith,Democratic,Washington's 9th,Episcopalian,,S000510,S000510,S000510,S000510,S000510,S000510,S000510,S000510,S000510,S000510,S000510,S000510,S000510,S000510,S000510,S000510,S000510,S000510
Zoe Lofgren,Democratic,California's 18th,Lutheran,,L000397,L000397,L000397,L000397,L000397,L000397,L000397,L000397,L000397,L000397,L000397,L000397,L000397,L000397,L000397,L000397,L000397,L000397
Sydney Kamlager-Dove,Democratic,California's 37th,Lutheran,,K000400,K000400,K000400,K000400,K000400,K000400,K000400,K000400,K000400,K000400,K000400,K000400,K000400,K000400,K000400,K000400,K000400,K000400
Scott Peters,Democratic,California's 50th,Lutheran,,P000608,P000608,P000608,P000608,P000608,P000608,P000608,P000608,P000608,P000608,P000608,P000608,P000608,P000608,P000608,P000608,P000608,P000608
Larry Bucshon,Republican,Indiana's 8th,Lutheran,,B001275,B001275,B001275,B001275,B001275,B001275,B001275,B001275,B001275,B001275,B001275,B001275,B001275,B001275,B001275,B001275,B001275,B001275
Tracey Mann,Republican,Kansas's 1st,Lutheran (Pietist),,M000871,M000871,M000871,M000871,M000871,M000871,M000871,M000871,M000871,M000871,M000871,M000871,M000871,M000871,M000871,M000871,M000871,M000871
Ron Estes,Republican,Kansas's 4th,Lutheran,,E000298,E000298,E000298,E000298,E000298,E000298,E000298,E000298,E000298,E000298,E000298,E000298,E000298,E000298,E000298,E000298,E000298,E000298
Chellie Pingree,Democratic,Maine's 1st,Lutheran,,P000597,P000597,P000597,P000597,P000597,P000597,P000597,P000597,P000597,P000597,P000597,P000597,P000597,P000597,P000597,P000597,P000597,P000597
David Trone,Democratic,Maryland's 6th,Lutheran,,T000483,T000483,T000483,T000483,T000483,T000483,T000483,T000483,T000483,T000483,T000483,T000483,T000483,T000483,T000483,T000483,T000483,T000483
Jack Bergman,Republican,Michigan's 1st,Lutheran,,B001301,B001301,B001301,B001301,B001301,B001301,B001301,B001301,B001301,B001301,B001301,B001301,B001301,B001301,B001301,B001301,B001301,B001301
Angie Craig,Democratic,Minnesota's 2nd,Lutheran,,C001119,C001119,C001119,C001119,C001119,C001119,C001119,C001119,C001119,C001119,C001119,C001119,C001119,C001119,C001119,C001119,C001119,C001119
Ryan Zinke,Republican,Montana's 1st,Lutheran,,Z000018,Z000018,Z000018,Z000018,Z000018,Z000018,Z000018,Z000018,Z000018,Z000018,Z000018,Z000018,Z000018,Z000018,Z000018,Z000018,Z000018,Z000018
Donald Norcross,Democratic,New Jersey's 1st,Lutheran,,N000188,N000188,N000188,N000188,N000188,N000188,N000188,N000188,N000188,N000188,N000188,N000188,N000188,N000188,N000188,N000188,N000188,N000188
Kelly Armstrong,Republican,North Dakota's at-large,Lutheran,,A000377,A000377,A000377,A000377,A000377,A000377,A000377,A000377,A000377,A000377,A000377,A000377,A000377,A000377,A000377,A000377,A000377,A000377
Lloyd Smucker,Republican,Pennsylvania's 11th,Lutheran,,S001199,S001199,S001199,S001199,S001199,S001199,S001199,S001199,S001199,S001199,S001199,S001199,S001199,S001199,S001199,S001199,S001199,S001199
John Carter,Republican,Texas's 31st,Lutheran,,C001051,C001051,C001051,C001051,C001051,C001051,C001051,C001051,C001051,C001051,C001051,C001051,C001051,C001051,C001051,C001051,C001051,C001051
Glenn Grothman,Republican,Wisconsin's 6th,Lutheran,,G000576,G000576,G000576,G000576,G000576,G000576,G000576,G000576,G000576,G000576,G000576,G000576,G000576,G000576,G000576,G000576,G000576,G000576
Kevin Kiley,Republican,California's 3rd,Nondenominational Protestant,,K000401,K000401,K000401,K000401,K000401,K000401,K000401,K000401,K000401,K000401,K000401,K000401,K000401,K000401,K000401,K000401,K000401,K000401
Lauren Boebert,Republican,Colorado's 3rd,Nondenominational Protestant,,B000825,B000825,B000825,B000825,B000825,B000825,B000825,B000825,B000825,B000825,B000825,B000825,B000825,B000825,B000825,B000825,B000825,B000825
Jason Crow,Democratic,Colorado's 6th,Nondenominational Protestant,,C001121,C001121,C001121,C001121,C001121,C001121,C001121,C001121,C001121,C001121,C001121,C001121,C001121,C001121,C001121,C001121,C001121,C001121
Drew Ferguson,Republican,Georgia's 3rd,Nondenominational Protestant,,F000465,F000465,F000465,F000465,F000465,F000465,F000465,F000465,F000465,F000465,F000465,F000465,F000465,F000465,F000465,F000465,F000465,F000465
Robin Kelly,Democratic,Illinois's 2nd,Nondenominational Protestant,,K000385,K000385,K000385,K000385,K000385,K000385,K000385,K000385,K000385,K000385,K000385,K000385,K000385,K000385,K000385,K000385,K000385,K000385
Ashley Hinson,Republican,Iowa's 2nd,Nondenominational Protestant,,H001091,H001091,H001091,H001091,H001091,H001091,H001091,H001091,H001091,H001091,H001091,H001091,H001091,H001091,H001091,H001091,H001091,H001091
Cori Bush,Democratic,Missouri's 1st,Nondenominational Protestant,Previously worked as a pastor.,B001224,B001224,B001224,B001224,B001224,B001224,B001224,B001224,B001224,B001224,B001224,B001224,B001224,B001224,B001224,B001224,B001224,B001224
Chuck Edwards,Republican,North Carolina's 11th,Nondenominational Protestant,,E000246,E000246,E000246,E000246,E000246,E000246,E000246,E000246,E000246,E000246,E000246,E000246,E000246,E000246,E000246,E000246,E000246,E000246
Nancy Mace,Republican,South Carolina's 1st,Nondenominational Protestant,,M000194,M000194,M000194,M000194,M000194,M000194,M000194,M000194,M000194,M000194,M000194,M000194,M000194,M000194,M000194,M000194,M000194,M000194
Marie Gluesenkamp Perez,Democratic,Washington's 3rd,Nondenominational Protestant,,G000600,G000600,G000600,G000600,G000600,G000600,G000600,G000600,G000600,G000600,G000600,G000600,G000600,G000600,G000600,G000600,G000600,G000600
Cathy McMorris Rodgers,Republican,Washington's 5th,Nondenominational Protestant,,M001159,M001159,M001159,M001159,M001159,M001159,M001159,M001159,M001159,M001159,M001159,M001159,M001159,M001159,M001159,M001159,M001159,M001159
Harriet Hageman,Republican,Wyoming's at-large,Nondenominational Protestant,,H001096,H001096,H001096,H001096,H001096,H001096,H001096,H001096,H001096,H001096,H001096,H001096,H001096,H001096,H001096,H001096,H001096,H001096
Lance Gooden,Republican,Texas's 5th,Restorationist,Misidentified as a Congregationalist in the Pew Report.,G000589,G000589,G000589,G000589,G000589,G000589,G000589,G000589,G000589,G000589,G000589,G000589,G000589,G000589,G000589,G000589,G000589,G000589
Brett Guthrie,Republican,Kentucky's 2nd,Restorationist,,G000558,G000558,G000558,G000558,G000558,G000558,G000558,G000558,G000558,G000558,G000558,G000558,G000558,G000558,G000558,G000558,G000558,G000558
John Rose,Republican,Tennessee's 6th,Restorationist,"Raised Southern Baptist. Classified as an ""Unspecified Protestant"" in the Pew Report.",R000612,R000612,R000612,R000612,R000612,R000612,R000612,R000612,R000612,R000612,R000612,R000612,R000612,R000612,R000612,R000612,R000612,R000612
Ronny Jackson,Republican,Texas's 13th,Restorationist,,J000304,J000304,J000304,J000304,J000304,J000304,J000304,J000304,J000304,J000304,J000304,J000304,J000304,J000304,J000304,J000304,J000304,J000304
Representative,Party,District,Religion,Notes,,,,,,,,,,,,,,,,,,
Hillary Scholten,Democratic,Michigan's 3rd,Reformed,,S001221,S001221,S001221,S001221,S001221,S001221,S001221,S001221,S001221,S001221,S001221,S001221,S001221,S001221,S001221,S001221,S001221,S001221
Bill Huizenga,Republican,Michigan's 4th,Reformed,,H001058,H001058,H001058,H001058,H001058,H001058,H001058,H001058,H001058,H001058,H001058,H001058,H001058,H001058,H001058,H001058,H001058,H001058
Raul Ruiz,Democratic,California's 25th,Seventh-day Adventist,,R000599,R000599,R000599,R000599,R000599,R000599,R000599,R000599,R000599,R000599,R000599,R000599,R000599,R000599,R000599,R000599,R000599,R000599
Sheila Jackson Lee,Democratic,Texas's 18th,Seventh-day Adventist,,J000032,J000032,J000032,J000032,J000032,J000032,J000032,J000032,J000032,J000032,J000032,J000032,J000032,J000032,J000032,J000032,J000032,J000032
Jason Smith,Republican,Missouri's 8th,Pentecostal,,S001195,S001195,S001195,S001195,S001195,S001195,S001195,S001195,S001195,S001195,S001195,S001195,S001195,S001195,S001195,S001195,S001195,S001195
Robert Aderholt,Republican,Alabama's 4th,Congregationalist,,A000055,A000055,A000055,A000055,A000055,A000055,A000055,A000055,A000055,A000055,A000055,A000055,A000055,A000055,A000055,A000055,A000055,A000055
Anna Eshoo,Democratic,California's 16th,Eastern Catholic,Chaldean Catholic,E000215,E000215,E000215,E000215,E000215,E000215,E000215,E000215,E000215,E000215,E000215,E000215,E000215,E000215,E000215,E000215,E000215,E000215
David Schweikert,Republican,Arizona's 1st,Latin Catholic,,S001183,S001183,S001183,S001183,S001183,S001183,S001183,S001183,S001183,S001183,S001183,S001183,S001183,S001183,S001183,S001183,S001183,S001183
Ruben Gallego,Democratic,Arizona's 3rd,Latin Catholic,,G000574,G000574,G000574,G000574,G000574,G000574,G000574,G000574,G000574,G000574,G000574,G000574,G000574,G000574,G000574,G000574,G000574,G000574
Greg Stanton,Democratic,Arizona's 4th,Latin Catholic,,S001211,S001211,S001211,S001211,S001211,S001211,S001211,S001211,S001211,S001211,S001211,S001211,S001211,S001211,S001211,S001211,S001211,S001211
Raúl Grijalva,Democratic,Arizona's 7th,Latin Catholic,,G000551,G000551,G000551,G000551,G000551,G000551,G000551,G000551,G000551,G000551,G000551,G000551,G000551,G000551,G000551,G000551,G000551,G000551
Paul Gosar,Republican,Arizona's 9th,Latin Catholic,,G000565,G000565,G000565,G000565,G000565,G000565,G000565,G000565,G000565,G000565,G000565,G000565,G000565,G000565,G000565,G000565,G000565,G000565
French Hill,Republican,Arkansas's 2nd,Latin Catholic,,H001072,H001072,H001072,H001072,H001072,H001072,H001072,H001072,H001072,H001072,H001072,H001072,H001072,H001072,H001072,H001072,H001072,H001072
Mike Thompson,Democratic,California's 4th,Latin Catholic,,T000194,T000194,T000194,T000194,T000194,T000194,T000194,T000194,T000194,T000194,T000194,T000194,T000194,T000194,T000194,T000194,T000194,T000194
Mark DeSaulnier,Democratic,California's 10th,Latin Catholic,,D000623,D000623,D000623,D000623,D000623,D000623,D000623,D000623,D000623,D000623,D000623,D000623,D000623,D000623,D000623,D000623,D000623,D000623
Nancy Pelosi,Democratic,California's 11th,Latin Catholic,,P000197,P000197,P000197,P000197,P000197,P000197,P000197,P000197,P000197,P000197,P000197,P000197,P000197,P000197,P000197,P000197,P000197,P000197
Kevin Mullin,Democratic,California's 15th,Latin Catholic,,M001225,M001225,M001225,M001225,M001225,M001225,M001225,M001225,M001225,M001225,M001225,M001225,M001225,M001225,M001225,M001225,M001225,M001225
Jimmy Panetta,Democratic,California's 19th,Latin Catholic,,P000613,P000613,P000613,P000613,P000613,P000613,P000613,P000613,P000613,P000613,P000613,P000613,P000613,P000613,P000613,P000613,P000613,P000613
Jim Costa,Democratic,California's 21st,Latin Catholic,,C001059,C001059,C001059,C001059,C001059,C001059,C001059,C001059,C001059,C001059,C001059,C001059,C001059,C001059,C001059,C001059,C001059,C001059
David Valadao,Republican,California's 22nd,Latin Catholic,,V000129,V000129,V000129,V000129,V000129,V000129,V000129,V000129,V000129,V000129,V000129,V000129,V000129,V000129,V000129,V000129,V000129,V000129
Salud Carbajal,Democratic,California's 24th,Latin Catholic,,C001112,C001112,C001112,C001112,C001112,C001112,C001112,C001112,C001112,C001112,C001112,C001112,C001112,C001112,C001112,C001112,C001112,C001112
Grace Napolitano,Democratic,California's 31st,Latin Catholic,,N000179,N000179,N000179,N000179,N000179,N000179,N000179,N000179,N000179,N000179,N000179,N000179,N000179,N000179,N000179,N000179,N000179,N000179
Pete Aguilar,Democratic,California's 33rd,Latin Catholic,,A000371,A000371,A000371,A000371,A000371,A000371,A000371,A000371,A000371,A000371,A000371,A000371,A000371,A000371,A000371,A000371,A000371,A000371
Jimmy Gomez,Democratic,California's 34th,Latin Catholic,,G000585,G000585,G000585,G000585,G000585,G000585,G000585,G000585,G000585,G000585,G000585,G000585,G000585,G000585,G000585,G000585,G000585,G000585
Norma Torres,Democratic,California's 35th,Latin Catholic,,T000474,T000474,T000474,T000474,T000474,T000474,T000474,T000474,T000474,T000474,T000474,T000474,T000474,T000474,T000474,T000474,T000474,T000474
Ted Lieu,Democratic,California's 36th,Latin Catholic,,L000582,L000582,L000582,L000582,L000582,L000582,L000582,L000582,L000582,L000582,L000582,L000582,L000582,L000582,L000582,L000582,L000582,L000582
Linda Sánchez,Democratic,California's 38th,Latin Catholic,,S001156,S001156,S001156,S001156,S001156,S001156,S001156,S001156,S001156,S001156,S001156,S001156,S001156,S001156,S001156,S001156,S001156,S001156
Robert Garcia,Democratic,California's 42nd,Latin Catholic,,G000598,G000598,G000598,G000598,G000598,G000598,G000598,G000598,G000598,G000598,G000598,G000598,G000598,G000598,G000598,G000598,G000598,G000598
Nanette Barragán,Democratic,California's 44th,Latin Catholic,,B001300,B001300,B001300,B001300,B001300,B001300,B001300,B001300,B001300,B001300,B001300,B001300,B001300,B001300,B001300,B001300,B001300,B001300
Lou Correa,Democratic,California's 46th,Latin Catholic,,C001110,C001110,C001110,C001110,C001110,C001110,C001110,C001110,C001110,C001110,C001110,C001110,C001110,C001110,C001110,C001110,C001110,C001110
Mike Levin,Democratic,California's 49th,Latin Catholic,Also raised Jewish.,L000593,L000593,L000593,L000593,L000593,L000593,L000593,L000593,L000593,L000593,L000593,L000593,L000593,L000593,L000593,L000593,L000593,L000593
Juan Vargas,Democratic,California's 52nd,Latin Catholic,,V000130,V000130,V000130,V000130,V000130,V000130,V000130,V000130,V000130,V000130,V000130,V000130,V000130,V000130,V000130,V000130,V000130,V000130
Yadira Caraveo,Democratic,Colorado's 8th,Latin Catholic,,C001134,C001134,C001134,C001134,C001134,C001134,C001134,C001134,C001134,C001134,C001134,C001134,C001134,C001134,C001134,C001134,C001134,C001134
John B. Larson,Democratic,Connecticut's 1st,Latin Catholic,,L000557,L000557,L000557,L000557,L000557,L000557,L000557,L000557,L000557,L000557,L000557,L000557,L000557,L000557,L000557,L000557,L000557,L000557
Joe Courtney,Democratic,Connecticut's 2nd,Latin Catholic,,C001069,C001069,C001069,C001069,C001069,C001069,C001069,C001069,C001069,C001069,C001069,C001069,C001069,C001069,C001069,C001069,C001069,C001069
Rosa DeLauro,Democratic,Connecticut's 3rd,Latin Catholic,,D000216,D000216,D000216,D000216,D000216,D000216,D000216,D000216,D000216,D000216,D000216,D000216,D000216,D000216,D000216,D000216,D000216,D000216
Neal Dunn,Republican,Florida's 2nd,Latin Catholic,,D000628,D000628,D000628,D000628,D000628,D000628,D000628,D000628,D000628,D000628,D000628,D000628,D000628,D000628,D000628,D000628,D000628,D000628
John Rutherford,Republican,Florida's 5th,Latin Catholic,,R000609,R000609,R000609,R000609,R000609,R000609,R000609,R000609,R000609,R000609,R000609,R000609,R000609,R000609,R000609,R000609,R000609,R000609
Darren Soto,Democratic,Florida's 9th,Latin Catholic,,S001200,S001200,S001200,S001200,S001200,S001200,S001200,S001200,S001200,S001200,S001200,S001200,S001200,S001200,S001200,S001200,S001200,S001200
Mario Díaz-Balart,Republican,Florida's 26th,Latin Catholic,,D000600,D000600,D000600,D000600,D000600,D000600,D000600,D000600,D000600,D000600,D000600,D000600,D000600,D000600,D000600,D000600,D000600,D000600
Carlos A. Giménez,Republican,Florida's 28th,Latin Catholic,,G000593,G000593,G000593,G000593,G000593,G000593,G000593,G000593,G000593,G000593,G000593,G000593,G000593,G000593,G000593,G000593,G000593,G000593
"Jesús ""Chuy"" García",Democratic,Illinois's 4th,Latin Catholic,,G000586,G000586,G000586,G000586,G000586,G000586,G000586,G000586,G000586,G000586,G000586,G000586,G000586,G000586,G000586,G000586,G000586,G000586
