Representative,Party,District,Religion,Notes,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide
Seth Moulton,Democratic,Massachusetts's 6th,Unspecified Protestant,,M001196,M001196,M001196,M001196,M001196,M001196,M001196,M001196,M001196,M001196,M001196,M001196,M001196,M001196,M001196,M001196,M001196,M001196
John Moolenaar,Republican,Michigan's 2nd,Unspecified Protestant,,M001194,M001194,M001194,M001194,M001194,M001194,M001194,M001194,M001194,M001194,M001194,M001194,M001194,M001194,M001194,M001194,M001194,M001194
Tim Walberg,Republican,Michigan's 5th,Unspecified Protestant,attends churches affiliated with the Church of the United Brethren in Christ,W000798,W000798,W000798,W000798,W000798,W000798,W000798,W000798,W000798,W000798,W000798,W000798,W000798,W000798,W000798,W000798,W000798,W000798
John James,Republican,Michigan's 10th,Unspecified Protestant,,J000307,J000307,J000307,J000307,J000307,J000307,J000307,J000307,J000307,J000307,J000307,J000307,J000307,J000307,J000307,J000307,J000307,J000307
Haley Stevens,Democratic,Michigan's 11th,Unspecified Protestant,,S001215,S001215,S001215,S001215,S001215,S001215,S001215,S001215,S001215,S001215,S001215,S001215,S001215,S001215,S001215,S001215,S001215,S001215
Shri Thanedar,Democratic,Michigan's 13th,Unspecified Protestant,,T000488,T000488,T000488,T000488,T000488,T000488,T000488,T000488,T000488,T000488,T000488,T000488,T000488,T000488,T000488,T000488,T000488,T000488
Mark Alford,Republican,Missouri's 4th,Unspecified Protestant,,A000379,A000379,A000379,A000379,A000379,A000379,A000379,A000379,A000379,A000379,A000379,A000379,A000379,A000379,A000379,A000379,A000379,A000379
Trent Kelly,Republican,Mississippi's 1st,Unspecified Protestant,,K000388,K000388,K000388,K000388,K000388,K000388,K000388,K000388,K000388,K000388,K000388,K000388,K000388,K000388,K000388,K000388,K000388,K000388
Eric Burlison,Republican,Missouri's 7th,Unspecified Protestant,,B001316,B001316,B001316,B001316,B001316,B001316,B001316,B001316,B001316,B001316,B001316,B001316,B001316,B001316,B001316,B001316,B001316,B001316
Don Bacon,Republican,Nebraska's 2nd,Unspecified Protestant,,B001298,B001298,B001298,B001298,B001298,B001298,B001298,B001298,B001298,B001298,B001298,B001298,B001298,B001298,B001298,B001298,B001298,B001298
Adrian Smith,Republican,Nebraska's 3rd,Unspecified Protestant,,S001172,S001172,S001172,S001172,S001172,S001172,S001172,S001172,S001172,S001172,S001172,S001172,S001172,S001172,S001172,S001172,S001172,S001172
Mark Amodei,Republican,Nevada's 2nd,Unspecified Protestant,,A000369,A000369,A000369,A000369,A000369,A000369,A000369,A000369,A000369,A000369,A000369,A000369,A000369,A000369,A000369,A000369,A000369,A000369
Ann McLane Kuster,Democratic,New Hampshire's 2nd,Unspecified Protestant,,K000382,K000382,K000382,K000382,K000382,K000382,K000382,K000382,K000382,K000382,K000382,K000382,K000382,K000382,K000382,K000382,K000382,K000382
Grace Meng,Democratic,New York's 6th,Unspecified Protestant,,M001188,M001188,M001188,M001188,M001188,M001188,M001188,M001188,M001188,M001188,M001188,M001188,M001188,M001188,M001188,M001188,M001188,M001188
Yvette Clarke,Democratic,New York's 9th,Unspecified Protestant,,C001067,C001067,C001067,C001067,C001067,C001067,C001067,C001067,C001067,C001067,C001067,C001067,C001067,C001067,C001067,C001067,C001067,C001067
Ritchie Torres,Democratic,New York's 15th,Unspecified Protestant,Lapsed Catholic,T000486,T000486,T000486,T000486,T000486,T000486,T000486,T000486,T000486,T000486,T000486,T000486,T000486,T000486,T000486,T000486,T000486,T000486
Marc Molinaro,Republican,New York's 19th,Unspecified Protestant,,M001221,M001221,M001221,M001221,M001221,M001221,M001221,M001221,M001221,M001221,M001221,M001221,M001221,M001221,M001221,M001221,M001221,M001221
Brandon Williams,Republican,New York's 22nd,Unspecified Protestant,,W000828,W000828,W000828,W000828,W000828,W000828,W000828,W000828,W000828,W000828,W000828,W000828,W000828,W000828,W000828,W000828,W000828,W000828
Nick Langworthy,Republican,New York's 23rd,Unspecified Protestant,,L000600,L000600,L000600,L000600,L000600,L000600,L000600,L000600,L000600,L000600,L000600,L000600,L000600,L000600,L000600,L000600,L000600,L000600
Richard Hudson,Republican,North Carolina's 9th,Unspecified Protestant,"Identifies as ""Christian"". Attends Crossroads Church (Concord, North Carolina), which is a United Methodist congregation.",H001067,H001067,H001067,H001067,H001067,H001067,H001067,H001067,H001067,H001067,H001067,H001067,H001067,H001067,H001067,H001067,H001067,H001067
Wiley Nickel,Democratic,North Carolina's 13th,Unspecified Protestant,,N000194,N000194,N000194,N000194,N000194,N000194,N000194,N000194,N000194,N000194,N000194,N000194,N000194,N000194,N000194,N000194,N000194,N000194
Jim Jordan,Republican,Ohio's 4th,Unspecified Protestant,,J000289,J000289,J000289,J000289,J000289,J000289,J000289,J000289,J000289,J000289,J000289,J000289,J000289,J000289,J000289,J000289,J000289,J000289
Warren Davidson,Republican,Ohio's 8th,Unspecified Protestant,,D000626,D000626,D000626,D000626,D000626,D000626,D000626,D000626,D000626,D000626,D000626,D000626,D000626,D000626,D000626,D000626,D000626,D000626
