Senator,Party,State,Religion,Notes,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide
Jeff Merkley,Democrat,Oregon,Lutheran[60][68][69],Denomination: ELCA.,M001176,M001176,M001176,M001176,M001176,M001176,M001176,M001176,M001176,M001176,M001176,M001176,M001176
Bill Hagerty,Republican,Tennessee,Episcopalian[2],,H000601,H000601,H000601,H000601,H000601,H000601,H000601,H000601,H000601,H000601,H000601,H000601,H000601
Angus King,Independent,Maine,Episcopalian[70][71][72],,K000383,K000383,K000383,K000383,K000383,K000383,K000383,K000383,K000383,K000383,K000383,K000383,K000383
Gary Peters,Democrat,Michigan,Episcopalian[70][73][74],,P000595,P000595,P000595,P000595,P000595,P000595,P000595,P000595,P000595,P000595,P000595,P000595,P000595
Chris Van Hollen,Democrat,Maryland,Episcopalian[70][75],,V000128,V000128,V000128,V000128,V000128,V000128,V000128,V000128,V000128,V000128,V000128,V000128,V000128
Sheldon Whitehouse,Democrat,Rhode Island,Episcopalian[70][76][77],,W000802,W000802,W000802,W000802,W000802,W000802,W000802,W000802,W000802,W000802,W000802,W000802,W000802
Ted Budd,Republican,North Carolina,Nondenominational Evangelical[78],,B001305,B001305,B001305,B001305,B001305,B001305,B001305,B001305,B001305,B001305,B001305,B001305,B001305
Bill Cassidy,Republican,Louisiana,Nondenominational Evangelical[79],,C001075,C001075,C001075,C001075,C001075,C001075,C001075,C001075,C001075,C001075,C001075,C001075,C001075
Rick Scott,Republican,Florida,Nondenominational Evangelical[80],Former Presbyterian.[80],S001217,S001217,S001217,S001217,S001217,S001217,S001217,S001217,S001217,S001217,S001217,S001217,S001217
Tim Scott,Republican,South Carolina,Nondenominational Evangelical[81][82],,S001184,S001184,S001184,S001184,S001184,S001184,S001184,S001184,S001184,S001184,S001184,S001184,S001184
John Thune,Republican,South Dakota,Nondenominational Evangelical[83][84],,T000250,T000250,T000250,T000250,T000250,T000250,T000250,T000250,T000250,T000250,T000250,T000250,T000250
John Cornyn,Republican,Texas,Restorationist[85][86],Denomination: Churches of Christ.,C001056,C001056,C001056,C001056,C001056,C001056,C001056,C001056,C001056,C001056,C001056,C001056,C001056
Roger Marshall,Republican,Kansas,Restorationist,Denomination: Christian Church (Disciples of Christ).[87][88],M001198,M001198,M001198,M001198,M001198,M001198,M001198,M001198,M001198,M001198,M001198,M001198,M001198
Tommy Tuberville,Republican,Alabama,Restorationist[89],Denomination: Churches of Christ.,T000278,T000278,T000278,T000278,T000278,T000278,T000278,T000278,T000278,T000278,T000278,T000278,T000278
Maggie Hassan,Democrat,New Hampshire,Congregationalist,Denomination: UCC.,H001076,H001076,H001076,H001076,H001076,H001076,H001076,H001076,H001076,H001076,H001076,H001076,H001076
Amy Klobuchar,Democrat,Minnesota,Congregationalist[90][91],Denomination: UCC.,K000367,K000367,K000367,K000367,K000367,K000367,K000367,K000367,K000367,K000367,K000367,K000367,K000367
Kevin Cramer,Republican,North Dakota,Pentecostal,Former Lutheran; denomination: ICFG.[92],C001096,C001096,C001096,C001096,C001096,C001096,C001096,C001096,C001096,C001096,C001096,C001096,C001096
Markwayne Mullin,Republican,Oklahoma,Pentecostal[93],Denomination: Assemblies of God[94],M001190,M001190,M001190,M001190,M001190,M001190,M001190,M001190,M001190,M001190,M001190,M001190,M001190
Jon Tester,Democrat,Montana,Wesleyan-Holiness Evangelical[95],"Denomination: Church of God (Anderson, Indiana).",T000464,T000464,T000464,T000464,T000464,T000464,T000464,T000464,T000464,T000464,T000464,T000464,T000464
John Hickenlooper,Democrat,Colorado,Quaker[96],"Raised on the periphery of the Episcopal Church, but misidentified as an Episcopalian in the Pew Report.",H000273,H000273,H000273,H000273,H000273,H000273,H000273,H000273,H000273,H000273,H000273,H000273,H000273
Chris Murphy,Democrat,Connecticut,Protestant[98][99],Raised as a Congregationalist.[100],M001169,M001169,M001169,M001169,M001169,M001169,M001169,M001169,M001169,M001169,M001169,M001169,M001169
Jeanne Shaheen,Democrat,New Hampshire,Protestant[101][102],,S001181,S001181,S001181,S001181,S001181,S001181,S001181,S001181,S001181,S001181,S001181,S001181,S001181
Todd Young,Republican,Indiana,Protestant[2],,Y000064,Y000064,Y000064,Y000064,Y000064,Y000064,Y000064,Y000064,Y000064,Y000064,Y000064,Y000064,Y000064
Mike Braun,Republican,Indiana,Catholic[103],,B001310,B001310,B001310,B001310,B001310,B001310,B001310,B001310,B001310,B001310,B001310,B001310,B001310
Maria Cantwell,Democrat,Washington,Catholic[104][105],,C000127,C000127,C000127,C000127,C000127,C000127,C000127,C000127,C000127,C000127,C000127,C000127,C000127
Bob Casey,Democrat,Pennsylvania,Catholic[106][107],,C001070,C001070,C001070,C001070,C001070,C001070,C001070,C001070,C001070,C001070,C001070,C001070,C001070
Susan Collins,Republican,Maine,Catholic[108][109],,C001035,C001035,C001035,C001035,C001035,C001035,C001035,C001035,C001035,C001035,C001035,C001035,C001035
Catherine Cortez Masto,Democrat,Nevada,Catholic[110][111][112],,C001113,C001113,C001113,C001113,C001113,C001113,C001113,C001113,C001113,C001113,C001113,C001113,C001113
Dick Durbin,Democrat,Illinois,Catholic[113][114],,D000563,D000563,D000563,D000563,D000563,D000563,D000563,D000563,D000563,D000563,D000563,D000563,D000563
Kirsten Gillibrand,Democrat,New York,Catholic[115][116],,G000555,G000555,G000555,G000555,G000555,G000555,G000555,G000555,G000555,G000555,G000555,G000555,G000555
John Hoeven,Republican,North Dakota,Catholic[117][118],,H001061,H001061,H001061,H001061,H001061,H001061,H001061,H001061,H001061,H001061,H001061,H001061,H001061
Tim Kaine,Democrat,Virginia,Catholic[119][120],,K000384,K000384,K000384,K000384,K000384,K000384,K000384,K000384,K000384,K000384,K000384,K000384,K000384
Mark Kelly,Democrat,Arizona,Catholic[2],"His wife, former Rep. Gabby Giffords, is Jewish.",K000377,K000377,K000377,K000377,K000377,K000377,K000377,K000377,K000377,K000377,K000377,K000377,K000377
Ben Ray Luján,Democrat,New Mexico,Catholic[2],,L000570,L000570,L000570,L000570,L000570,L000570,L000570,L000570,L000570,L000570,L000570,L000570,L000570
Joe Manchin,Democrat,West Virginia,Catholic[116][121],,M001183,M001183,M001183,M001183,M001183,M001183,M001183,M001183,M001183,M001183,M001183,M001183,M001183
Ed Markey,Democrat,Massachusetts,Catholic[122][123],,M000133,M000133,M000133,M000133,M000133,M000133,M000133,M000133,M000133,M000133,M000133,M000133,M000133
Bob Menendez,Democrat,New Jersey,Catholic[124][125],,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639
Lisa Murkowski,Republican,Alaska,Catholic[126][127],,M001153,M001153,M001153,M001153,M001153,M001153,M001153,M001153,M001153,M001153,M001153,M001153,M001153
Patty Murray,Democrat,Washington,Catholic[128][129],,M001111,M001111,M001111,M001111,M001111,M001111,M001111,M001111,M001111,M001111,M001111,M001111,M001111
Alex Padilla,Democrat,California,Catholic[130],,P000145,P000145,P000145,P000145,P000145,P000145,P000145,P000145,P000145,P000145,P000145,P000145,P000145
Jack Reed,Democrat,Rhode Island,Catholic[131][132],,R000120,R000120,R000120,R000120,R000120,R000120,R000120,R000120,R000120,R000120,R000120,R000120,R000120
Pete Ricketts,Republican,Nebraska,Catholic[133],,R000618,R000618,R000618,R000618,R000618,R000618,R000618,R000618,R000618,R000618,R000618,R000618,R000618
Jim Risch,Republican,Idaho,Catholic[134][135],,R000584,R000584,R000584,R000584,R000584,R000584,R000584,R000584,R000584,R000584,R000584,R000584,R000584
Mike Rounds,Republican,South Dakota,Catholic[136][137],,R000605,R000605,R000605,R000605,R000605,R000605,R000605,R000605,R000605,R000605,R000605,R000605,R000605
Marco Rubio,Republican,Florida,Catholic[138][139],Former Latter-day Saint.[140],R000595,R000595,R000595,R000595,R000595,R000595,R000595,R000595,R000595,R000595,R000595,R000595,R000595
Eric Schmitt,Republican,Missouri,Catholic[141],,S001227,S001227,S001227,S001227,S001227,S001227,S001227,S001227,S001227,S001227,S001227,S001227,S001227
Dan Sullivan,Republican,Alaska,Catholic[142],,S001198,S001198,S001198,S001198,S001198,S001198,S001198,S001198,S001198,S001198,S001198,S001198,S001198
Thom Tillis,Republican,North Carolina,Catholic[143],,T000476,T000476,T000476,T000476,T000476,T000476,T000476,T000476,T000476,T000476,T000476,T000476,T000476
J. D. Vance,Republican,Ohio,Catholic[144][145],Former Non-denominational Evangelical.,V000137,V000137,V000137,V000137,V000137,V000137,V000137,V000137,V000137,V000137,V000137,V000137,V000137
Peter Welch,Democrat,Vermont,Catholic[146],,W000800,W000800,W000800,W000800,W000800,W000800,W000800,W000800,W000800,W000800,W000800,W000800,W000800
Mike Crapo,Republican,Idaho,Latter-day Saint[147][148],,C000880,C000880,C000880,C000880,C000880,C000880,C000880,C000880,C000880,C000880,C000880,C000880,C000880
Mike Lee,Republican,Utah,Latter-day Saint[149][150],,L000577,L000577,L000577,L000577,L000577,L000577,L000577,L000577,L000577,L000577,L000577,L000577,L000577
Mitt Romney,Republican,Utah,Latter-day Saint[151][152],,R000615,R000615,R000615,R000615,R000615,R000615,R000615,R000615,R000615,R000615,R000615,R000615,R000615
Richard Blumenthal,Democrat,Connecticut,Jewish[153][154],,B001277,B001277,B001277,B001277,B001277,B001277,B001277,B001277,B001277,B001277,B001277,B001277,B001277
Jon Ossoff,Democrat,Georgia,Jewish[155],,O000174,O000174,O000174,O000174,O000174,O000174,O000174,O000174,O000174,O000174,O000174,O000174,O000174
Ben Cardin,Democrat,Maryland,Jewish[156][157],,C000141,C000141,C000141,C000141,C000141,C000141,C000141,C000141,C000141,C000141,C000141,C000141,C000141
Bernie Sanders,Independent,Vermont,Jewish[158][159],Non-practicing.,S000033,S000033,S000033,S000033,S000033,S000033,S000033,S000033,S000033,S000033,S000033,S000033,S000033
Jacky Rosen,Democrat,Nevada,Jewish[160][161],,R000608,R000608,R000608,R000608,R000608,R000608,R000608,R000608,R000608,R000608,R000608,R000608,R000608
Brian Schatz,Democrat,Hawaii,Jewish[162][163],,S001194,S001194,S001194,S001194,S001194,S001194,S001194,S001194,S001194,S001194,S001194,S001194,S001194
Chuck Schumer,Democrat,New York,Jewish[164][165],,S000148,S000148,S000148,S000148,S000148,S000148,S000148,S000148,S000148,S000148,S000148,S000148,S000148
Ron Wyden,Democrat,Oregon,Jewish[166][167],,W000779,W000779,W000779,W000779,W000779,W000779,W000779,W000779,W000779,W000779,W000779,W000779,W000779
Mazie Hirono,Democrat,Hawaii,Buddhist[168][169],School: Jōdo Shinshū; non-practicing.,H001042,H001042,H001042,H001042,H001042,H001042,H001042,H001042,H001042,H001042,H001042,H001042,H001042
Tammy Baldwin,Democrat,Wisconsin,Unknown or refused to specify[2][170][171],Baptized as an Episcopalian.[172],B001230,B001230,B001230,B001230,B001230,B001230,B001230,B001230,B001230,B001230,B001230,B001230,B001230
Michael Bennet,Democrat,Colorado,Unknown or refused to specify[2][173][174],Raised in both Jewish and Christian traditions.[175],B001267,B001267,B001267,B001267,B001267,B001267,B001267,B001267,B001267,B001267,B001267,B001267,B001267
Laphonza Butler,Democrat,California,Unknown or refused to specify,,B001320,B001320,B001320,B001320,B001320,B001320,B001320,B001320,B001320,B001320,B001320,B001320,B001320
Tammy Duckworth,Democrat,Illinois,Unknown or refused to specify[2],Sometimes acknowledged as Deist.[176],D000622,D000622,D000622,D000622,D000622,D000622,D000622,D000622,D000622,D000622,D000622,D000622,D000622
John Fetterman,Democrat,Pennsylvania,Unknown or refused to specify,,F000479,F000479,F000479,F000479,F000479,F000479,F000479,F000479,F000479,F000479,F000479,F000479,F000479
Kyrsten Sinema,Independent,Arizona,Unaffiliated,Raised as a Latter-day Saint.[177],S001191,S001191,S001191,S001191,S001191,S001191,S001191,S001191,S001191,S001191,S001191,S001191,S001191
